               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.018027,            0.025314,           0.0012981,             0.89417,             0.87274,             0.88605,             0.65925,            0.026673,            0.018322,           0.0031849,            0.002674,            0.002674,            0.002674
                  76,            0.018067,            0.025995,           0.0012682,             0.95224,             0.87852,             0.91246,             0.67615,            0.025842,            0.017338,           0.0027679,            0.002575,            0.002575,            0.002575
                  77,            0.017929,            0.025429,           0.0012683,             0.91765,             0.87214,             0.91435,              0.6994,            0.025797,            0.017368,           0.0021049,            0.002476,            0.002476,            0.002476
                  78,            0.017679,            0.025979,           0.0012735,             0.91899,             0.88633,              0.9016,             0.65778,            0.027007,             0.01841,           0.0020813,            0.002377,            0.002377,            0.002377
                  79,             0.01813,            0.025782,           0.0013142,             0.90611,             0.87458,             0.89987,             0.65146,            0.026671,            0.019016,           0.0018826,            0.002278,            0.002278,            0.002278
                  80,            0.017947,            0.026473,           0.0012184,             0.90556,             0.87722,             0.90635,             0.68721,            0.025268,            0.018023,            0.001833,            0.002179,            0.002179,            0.002179
                  81,            0.017568,            0.024364,           0.0012142,             0.90252,             0.87483,             0.90859,             0.66314,            0.026639,            0.018627,           0.0014721,             0.00208,             0.00208,             0.00208
                  82,            0.017361,            0.025624,           0.0012942,             0.88967,             0.86752,             0.87335,             0.65689,            0.026689,            0.018448,           0.0015877,            0.001981,            0.001981,            0.001981
                  83,            0.017237,            0.025944,           0.0011355,             0.89705,             0.88904,             0.89232,             0.66007,            0.026272,            0.018066,           0.0015783,            0.001882,            0.001882,            0.001882
                  84,            0.017133,            0.025189,           0.0011698,             0.87942,             0.86211,             0.86885,             0.67637,            0.027209,            0.018002,           0.0023804,            0.001783,            0.001783,            0.001783
                  85,            0.016998,            0.024895,           0.0012172,             0.87357,              0.8409,             0.84247,             0.64611,            0.027944,            0.018353,           0.0021183,            0.001684,            0.001684,            0.001684
                  86,            0.017102,            0.026708,           0.0012434,             0.87367,             0.85106,             0.86451,             0.65992,            0.027438,            0.018559,           0.0017288,            0.001585,            0.001585,            0.001585
                  87,            0.016061,            0.024481,           0.0011026,              0.9089,             0.88718,             0.90458,             0.68572,            0.026164,            0.017319,           0.0014435,            0.001486,            0.001486,            0.001486
                  88,            0.016214,            0.023777,           0.0010846,             0.90743,             0.88204,             0.90158,             0.66486,            0.027245,            0.017838,           0.0012592,            0.001387,            0.001387,            0.001387
                  89,            0.015815,            0.024338,           0.0011118,             0.86729,             0.85762,             0.87155,             0.66188,            0.027506,            0.018326,            0.001614,            0.001288,            0.001288,            0.001288
                  90,            0.016033,            0.024482,           0.0010952,             0.91927,             0.84152,             0.86593,             0.65774,            0.027524,            0.018921,           0.0014618,            0.001189,            0.001189,            0.001189
                  91,            0.015805,            0.024505,           0.0011496,             0.92558,             0.84702,             0.87794,             0.65952,            0.026783,            0.018612,            0.001664,             0.00109,             0.00109,             0.00109
                  92,            0.015808,             0.02465,           0.0011271,             0.89543,             0.82991,             0.85727,              0.6575,             0.02712,            0.019222,           0.0020058,            0.000991,            0.000991,            0.000991
                  93,            0.015812,            0.023729,           0.0010303,             0.89775,             0.83585,             0.87776,             0.66419,            0.026618,            0.018677,           0.0017685,            0.000892,            0.000892,            0.000892
                  94,            0.015757,            0.024273,            0.001035,             0.92529,             0.82625,             0.89311,             0.67241,            0.026999,            0.018696,           0.0016914,            0.000793,            0.000793,            0.000793
                  95,            0.015701,            0.023441,           0.0011208,             0.90763,             0.82177,              0.8541,              0.6474,            0.028157,            0.019299,           0.0020134,            0.000694,            0.000694,            0.000694
                  96,            0.015169,            0.023918,            0.001053,              0.9069,             0.81665,             0.87056,             0.66602,            0.027531,            0.019241,           0.0019325,            0.000595,            0.000595,            0.000595
                  97,             0.01488,            0.023845,           0.0010784,             0.90455,             0.81902,             0.85764,             0.67082,            0.026837,            0.019142,           0.0016552,            0.000496,            0.000496,            0.000496
                  98,            0.015205,            0.023731,          0.00099078,             0.89701,             0.83091,             0.87167,             0.66273,             0.02693,            0.019073,           0.0016468,            0.000397,            0.000397,            0.000397
                  99,            0.015043,            0.023553,           0.0010653,             0.87207,             0.85381,             0.87283,             0.65443,            0.026807,            0.019054,           0.0019012,            0.000298,            0.000298,            0.000298
